Location,MachineName,HashRate(24h),EstRevenue(30d),EstProfit(30d),Price,NumMachines,Cost,URL
KY-LF,Bitmain S19k Pro 120T,121.17 TH/s,0.00307,0.00035,0.03115,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1596
KY-RH,Bitmain S19j Pro+ 120T,110.73 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1595
KY-RH,Bitmain S19j Pro+ 120T,109.81 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1594
KY-RH,Bitmain S19j Pro+ 120T,110.42 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1593
KY-RH,Bitmain S19j Pro+ 120T,111.64 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1592
KY-RH,Bitmain S19j Pro+ 120T,110.19 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1591
KY-RH,Bitmain S19j Pro+ 120T,111.14 TH/s,0.00238,-0.00093,0.02857,1,0.0033100000000000004,https://marketplace.blockwaresolutions.com/detail/1590
KY-LF,Whatsminer M50 120T,111.97 TH/s,0.00308,-0.00018,0.0949,1,0.00326,https://marketplace.blockwaresolutions.com/detail/1589
KY-BTK,Bitmain S19k Pro 115T,117.62 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1587
KY-BTK,Bitmain S19k Pro 115T,117.41 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1586
KY-BTK,Bitmain S19k Pro 115T,117.27 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1585
KY-BTK,Bitmain S19k Pro 115T,117.69 TH/s,0.00294,0.00022,0.0329,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1584
KY-BTK,Bitmain S19k Pro 115T,117.41 TH/s,0.00294,0.00022,0.03204,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1583
KY-BTK,Bitmain S19k Pro 115T,117.34 TH/s,0.00294,0.00022,0.03204,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1582
KY-BTK,Bitmain S19k Pro 115T,117.47 TH/s,0.00294,0.00022,0.03204,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1581
KY-BTK,Bitmain S19k Pro 115T,117.03 TH/s,0.00294,0.00022,0.03204,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1580
KY-BTK,Bitmain S19k Pro 115T,117.46 TH/s,0.00294,0.00022,0.03204,1,0.0027199999999999998,https://marketplace.blockwaresolutions.com/detail/1579
KY-LF,Bitmain S19j Pro 96T,89.27 TH/s,0.00184,-0.00095,0.01212,1,0.00279,https://marketplace.blockwaresolutions.com/detail/1578
KY-LF,Bitmain S19j Pro 104T,96.23 TH/s,0.002045,-0.00098,0.017285,2,0.003025,https://marketplace.blockwaresolutions.com/detail/1577
KY-LF,Bitmain S19 Pro 110T,106.25399999999999 TH/s,0.002404,-0.000802,0.01905,5,0.0032059999999999996,https://marketplace.blockwaresolutions.com/detail/1576
KY-LF,Bitmain S19j Pro 100T,92.255 TH/s,0.001945,-0.000965,0.015585,2,0.00291,https://marketplace.blockwaresolutions.com/detail/1575
KY-LF,Bitmain S19j Pro 96T,69.53 TH/s,0.00205,-0.00098,0.01732,1,0.00303,https://marketplace.blockwaresolutions.com/detail/1574
KY-LF,Bitmain T19 84T,84.96 TH/s,0.00218,-0.00093,0.00346,1,0.00311,https://marketplace.blockwaresolutions.com/detail/1573
KY-RH,Bitmain S19 XP 134T,107.0175 TH/s,0.00312,0.0002775,0.04169,4,0.0028425,https://marketplace.blockwaresolutions.com/detail/1572
